法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣高雄地方法院,042法登1,1,設立登記,財團法人私立高雄救濟院,042/04/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE6NAAD&bc=042&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=KSD&fg=1,output/details/KSD/042/000001/AAAdkxAAHAAAE6NAAD.json,AAAdkxAAHAAAE6NAAD,KSD
臺灣高雄地方法院,043法登2,2,設立登記,財團法人基督教中華循理會,043/09/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE6NAAE&bc=043&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=KSD&fg=1,output/details/KSD/043/000002/AAAdkxAAHAAAE6NAAE.json,AAAdkxAAHAAAE6NAAE,KSD
臺灣高雄地方法院,044法登3,3,設立登記,財團法人高雄市教會聚會所,044/01/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE6LAAI&bc=044&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=KSD&fg=1,output/details/KSD/044/000003/AAAdkxAAHAAAE6LAAI.json,AAAdkxAAHAAAE6LAAI,KSD
臺灣高雄地方法院,044法登4,4,設立登記,財團法人高雄市三塊厝興德團,044/10/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE7IAAI&bc=044&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=KSD&fg=1,output/details/KSD/044/000004/AAAdkxAAHAAAE7IAAI.json,AAAdkxAAHAAAE7IAAI,KSD
臺灣高雄地方法院,045法登5,5,設立登記,財團法人台灣省司法保護會高雄區分會,045/01/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE7HAAK&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=KSD&fg=1,output/details/KSD/045/000005/AAAdkxAAHAAAE7HAAK.json,AAAdkxAAHAAAE7HAAK,KSD
臺灣高雄地方法院,045法登6,6,設立登記,財團法人天主教會高雄教區,045/04/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE6MAAF&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=KSD&fg=1,output/details/KSD/045/000006/AAAdkxAAHAAAE6MAAF.json,AAAdkxAAHAAAE6MAAF,KSD
臺灣高雄地方法院,045法登7,7,設立登記,財團法人高雄市覆鼎金保安宮,045/08/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE7IAAG&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=KSD&fg=1,output/details/KSD/045/000007/AAAdkxAAHAAAE7IAAG.json,AAAdkxAAHAAAE7IAAG,KSD
臺灣高雄地方法院,045法登8,8,設立登記,財團法人台灣省高雄市高崇山福亨寺佈教資團,045/10/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE7IAAH&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000008&ef=KSD&fg=1,output/details/KSD/045/000008/AAAdkxAAHAAAE7IAAH.json,AAAdkxAAHAAAE7IAAH,KSD
臺灣高雄地方法院,046法登9,9,設立登記,財團法人高雄市基督教會國語禮拜堂,046/05/31,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE67AAH&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000009&ef=KSD&fg=1,output/details/KSD/046/000009/AAAdkxAAHAAAE67AAH.json,AAAdkxAAHAAAE67AAH,KSD
臺灣高雄地方法院,046法登10,10,設立登記,財團法人台灣省高雄市打鼓巖元亨寺,046/08/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAE66AAF&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=KSD&fg=1,output/details/KSD/046/000010/AAAdkxAAHAAAE66AAF.json,AAAdkxAAHAAAE66AAF,KSD
