法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣基隆地方法院,040法登1,1,設立登記,社團法人台灣省琉球人民協會,040/03/22,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAE&bc=040&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=KLD&fg=1,output/details/KLD/040/000001/AAAdkxAAHAAAPkjAAE.json,AAAdkxAAHAAAPkjAAE,KLD
臺灣基隆地方法院,043法登2,2,設立登記,財團法人基隆市私立博愛救濟院,043/11/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAF&bc=043&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=KLD&fg=1,output/details/KLD/043/000002/AAAdkxAAHAAAPkjAAF.json,AAAdkxAAHAAAPkjAAF,KLD
臺灣基隆地方法院,045法登3,3,設立登記,財團法人基隆中正基督長老教會,045/10/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAG&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=KLD&fg=1,output/details/KLD/045/000003/AAAdkxAAHAAAPkjAAG.json,AAAdkxAAHAAAPkjAAG,KLD
臺灣基隆地方法院,045法登4,4,設立登記,財團法人基隆教會,045/11/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAH&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=KLD&fg=1,output/details/KLD/045/000004/AAAdkxAAHAAAPkjAAH.json,AAAdkxAAHAAAPkjAAH,KLD
臺灣基隆地方法院,045法登5,5,設立登記,財團法人台灣省基隆區司法保護分會,047/09/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAI&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=KLD&fg=1,output/details/KLD/045/000005/AAAdkxAAHAAAPkjAAI.json,AAAdkxAAHAAAPkjAAI,KLD
臺灣基隆地方法院,047法登6,6,設立登記,社團法人海洋漁業行,047/08/17,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAJ&bc=047&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=KLD&fg=1,output/details/KLD/047/000006/AAAdkxAAHAAAPkjAAJ.json,AAAdkxAAHAAAPkjAAJ,KLD
臺灣基隆地方法院,048法登7,7,設立登記,財團法人基隆江氏獎助學金運用管理董事會,049/03/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAK&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=KLD&fg=1,output/details/KLD/048/000007/AAAdkxAAHAAAPkjAAK.json,AAAdkxAAHAAAPkjAAK,KLD
臺灣基隆地方法院,049法登8,8,設立登記,財團法人基隆中山基督教會,050/12/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAL&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000008&ef=KLD&fg=1,output/details/KLD/049/000008/AAAdkxAAHAAAPkjAAL.json,AAAdkxAAHAAAPkjAAL,KLD
臺灣基隆地方法院,050法登9,9,設立登記,財團法人基隆市閩南同鄉會,050/09/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAM&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000009&ef=KLD&fg=1,output/details/KLD/050/000009/AAAdkxAAHAAAPkjAAM.json,AAAdkxAAHAAAPkjAAM,KLD
臺灣基隆地方法院,052法登10,10,設立登記,財團法人台灣省基隆市極樂寺,052/08/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPkjAAN&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=KLD&fg=1,output/details/KLD/052/000010/AAAdkxAAHAAAPkjAAN.json,AAAdkxAAHAAAPkjAAN,KLD
