法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣士林地方法院,038法登財1,420021,設立登記,財團法人私立泰北高級中學,038/01/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzLAAD&bc=038&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=SLD&fg=1,output/details/SLD/AAD/AAAdkxAAHAAAEzLAAD.json,AAAdkxAAHAAAEzLAAD,SLD
臺灣士林地方法院,063法登4,630558,設立登記,財團法人陽明山五福宮,063/01/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzLAAE&bc=063&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=SLD&fg=1,output/details/SLD/AAE/AAAdkxAAHAAAEzLAAE.json,AAAdkxAAHAAAEzLAAE,SLD
臺灣士林地方法院,068法登10,680823,設立登記,財團法人台北市王子君紀念基金會,068/10/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzPAAA&bc=068&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=SLD&fg=1,output/details/SLD/AAA/AAAdkxAAHAAAEzPAAA.json,AAAdkxAAHAAAEzPAAA,SLD
臺灣士林地方法院,069法登79,690854,設立登記,財團法人台北市文林基督教會,069/05/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzPAAB&bc=069&cd=%AA%6B%B5%6E++++++++++++++++&de=000079&ef=SLD&fg=1,output/details/SLD/AAB/AAAdkxAAHAAAEzPAAB.json,AAAdkxAAHAAAEzPAAB,SLD
臺灣士林地方法院,071法登90,690854,變更登記,財團法人台北市文林基督教會,071/07/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzPAAC&bc=071&cd=%AA%6B%B5%6E++++++++++++++++&de=000090&ef=SLD&fg=1,output/details/SLD/AAC/AAAdkxAAHAAAEzPAAC.json,AAAdkxAAHAAAEzPAAC,SLD
臺灣士林地方法院,073法登8,1,設立登記,財團法人宗教世界雜誌社,073/09/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzdAAE&bc=073&cd=%AA%6B%B5%6E++++++++++++++++&de=000008&ef=SLD&fg=1,output/details/SLD/AAE/AAAdkxAAHAAAEzdAAE.json,AAAdkxAAHAAAEzdAAE,SLD
臺灣士林地方法院,073法登10,2,設立登記,財團法人私立蒙特梭利幼稚園,073/09/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzdAAF&bc=073&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=SLD&fg=1,output/details/SLD/AAF/AAAdkxAAHAAAEzdAAF.json,AAAdkxAAHAAAEzdAAF,SLD
臺灣士林地方法院,073法登21,3,設立登記,財團法人中華醫學研究獎助基金會,073/11/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzhAAA&bc=073&cd=%AA%6B%B5%6E++++++++++++++++&de=000021&ef=SLD&fg=1,output/details/SLD/AAA/AAAdkxAAHAAAEzhAAA.json,AAAdkxAAHAAAEzhAAA,SLD
臺灣士林地方法院,074法登7,4,設立登記,財團法人中日文教基金會,074/01/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzhAAB&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=SLD&fg=1,output/details/SLD/AAB/AAAdkxAAHAAAEzhAAB.json,AAAdkxAAHAAAEzhAAB,SLD
臺灣士林地方法院,074法登17,5,設立登記,財團法人私立銘恩孝陵花園公墓管理服務中心,074/04/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzhAAC&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000017&ef=SLD&fg=1,output/details/SLD/AAC/AAAdkxAAHAAAEzhAAC.json,AAAdkxAAHAAAEzhAAC,SLD
臺灣士林地方法院,074法登31,6,設立登記,財團法人沈力揚教授醫學教育獎學紀念基金會,074/06/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzhAAD&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000031&ef=SLD&fg=1,output/details/SLD/AAD/AAAdkxAAHAAAEzhAAD.json,AAAdkxAAHAAAEzhAAD,SLD
臺灣士林地方法院,074法登32,7,設立登記,財團法人台北基督徒石牌禮拜堂,074/06/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzkAAA&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000032&ef=SLD&fg=1,output/details/SLD/AAA/AAAdkxAAHAAAEzkAAA.json,AAAdkxAAHAAAEzkAAA,SLD
臺灣士林地方法院,074法登37,8,設立登記,財團法人中華民國科技圖書館及資料單位館際合作組織,074/07/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzkAAB&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000037&ef=SLD&fg=1,output/details/SLD/AAB/AAAdkxAAHAAAEzkAAB.json,AAAdkxAAHAAAEzkAAB,SLD
臺灣士林地方法院,074法登46,9,設立登記,財團法人台北市文化基金會,074/09/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzkAAC&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000046&ef=SLD&fg=1,output/details/SLD/AAC/AAAdkxAAHAAAEzkAAC.json,AAAdkxAAHAAAEzkAAC,SLD
臺灣士林地方法院,074法登59,10,設立登記,財團法人台北市韓母謝太夫人慈幼基金會,074/10/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzkAAD&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000059&ef=SLD&fg=1,output/details/SLD/AAD/AAAdkxAAHAAAEzkAAD.json,AAAdkxAAHAAAEzkAAD,SLD
臺灣士林地方法院,075法登1,11,設立登記,財團法人腎友基金會,075/01/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzkAAE&bc=075&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=SLD&fg=1,output/details/SLD/AAE/AAAdkxAAHAAAEzkAAE.json,AAAdkxAAHAAAEzkAAE,SLD
臺灣士林地方法院,075法登7,12,設立登記,社團法人台北市老人休閒育樂協會,075/01/28,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzkAAF&bc=075&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=SLD&fg=1,output/details/SLD/AAF/AAAdkxAAHAAAEzkAAF.json,AAAdkxAAHAAAEzkAAF,SLD
臺灣士林地方法院,075法登8,13,設立登記,財團法人生物醫學科學基金會,075/02/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzeAAD&bc=075&cd=%AA%6B%B5%6E++++++++++++++++&de=000008&ef=SLD&fg=1,output/details/SLD/AAD/AAAdkxAAHAAAEzeAAD.json,AAAdkxAAHAAAEzeAAD,SLD
臺灣士林地方法院,075法登9,5,變更登記,財團法人私立銘恩孝園花園公墓管理服務中心,075/02/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEzeAAE&bc=075&cd=%AA%6B%B5%6E++++++++++++++++&de=000009&ef=SLD&fg=1,output/details/SLD/AAE/AAAdkxAAHAAAEzeAAE.json,AAAdkxAAHAAAEzeAAE,SLD
