法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣桃園地方法院,045法登5,114,設立登記,財團法人台灣省桃園縣大溪鎮香雲庵,045/01/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAINwAAE&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=TYD&fg=1,output/details/TYD/AAE/AAAdkxAAHAAAINwAAE.json,AAAdkxAAHAAAINwAAE,TYD
臺灣桃園地方法院,045法登30,93,設立登記,財團法人桃園教會聚會所,045/10/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAIN0AAA&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000030&ef=TYD&fg=1,output/details/TYD/AAA/AAAdkxAAHAAAIN0AAA.json,AAAdkxAAHAAAIN0AAA,TYD
臺灣桃園地方法院,049法登10,37,設立登記,財團法人桃園縣私立中壢育幼院,049/02/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAIN0AAB&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=TYD&fg=1,output/details/TYD/AAB/AAAdkxAAHAAAIN0AAB.json,AAAdkxAAHAAAIN0AAB,TYD
臺灣桃園地方法院,049法登財1,6,設立登記,財團法人台灣省桃園縣私立復旦高級中學,049/12/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL02AAK&bc=049&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TYD&fg=1,output/details/TYD/AAK/AAAdkxAAHAAAL02AAK.json,AAAdkxAAHAAAL02AAK,TYD
臺灣桃園地方法院,051法登財1,52,設立登記,財團法人桃園縣石雲巖,051/03/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0TAAE&bc=051&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TYD&fg=1,output/details/TYD/AAE/AAAdkxAAHAAAL0TAAE.json,AAAdkxAAHAAAL0TAAE,TYD
臺灣桃園地方法院,053法登20,68,設立登記,財團法人中壢教會聚會所,053/09/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAINtAAD&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000020&ef=TYD&fg=1,output/details/TYD/AAD/AAAdkxAAHAAAINtAAD.json,AAAdkxAAHAAAINtAAD,TYD
臺灣桃園地方法院,053法登財1,47,設立登記,財團法人台灣省桃園縣桃園市天主教沙爾德赫聖保祿修女會,053/05/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0TAAF&bc=053&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TYD&fg=1,output/details/TYD/AAF/AAAdkxAAHAAAL0TAAF.json,AAAdkxAAHAAAL0TAAF,TYD
臺灣桃園地方法院,053法登財2,46,設立登記,財團法人台灣省桃園縣中壢仁海宮,053/10/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL03AAF&bc=053&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=TYD&fg=1,output/details/TYD/AAF/AAAdkxAAHAAAL03AAF.json,AAAdkxAAHAAAL03AAF,TYD
臺灣桃園地方法院,053法登財31,31,設立登記,財團法人私立中原大學,053/02/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJbeAAG&bc=053&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000031&ef=TYD&fg=1,output/details/TYD/AAG/AAAdkxAAHAAAJbeAAG.json,AAAdkxAAHAAAJbeAAG,TYD
臺灣桃園地方法院,054法登財1,24,設立登記,財團法人台灣省桃園縣壽山巖觀音寺,054/05/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL03AAG&bc=054&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TYD&fg=1,output/details/TYD/AAG/AAAdkxAAHAAAL03AAG.json,AAAdkxAAHAAAL03AAG,TYD
臺灣桃園地方法院,054法登財2,8,設立登記,財團法人台灣省桃園縣中壢慈惠堂,054/06/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0%2FAAE&bc=054&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=TYD&fg=1,output/details/TYD/AAE/AAAdkxAAHAAAL0%2FAAE.json,AAAdkxAAHAAAL0%2FAAE,TYD
臺灣桃園地方法院,055法登15,13,設立登記,財團法人台灣省桃園縣私立振聲高級中學,055/10/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAIlAAAB&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000015&ef=TYD&fg=1,output/details/TYD/AAB/AAAdkxAAHAAAIlAAAB.json,AAAdkxAAHAAAIlAAAB,TYD
臺灣桃園地方法院,055法登財1,11,設立登記,財團法人台灣省桃園縣私立治平高級中學,055/08/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0%2FAAF&bc=055&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TYD&fg=1,output/details/TYD/AAF/AAAdkxAAHAAAL0%2FAAF.json,AAAdkxAAHAAAL0%2FAAF,TYD
臺灣桃園地方法院,055法登財2,25,設立登記,財團法人私立健行工業專科學校,055/03/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0%2FAAG&bc=055&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=TYD&fg=1,output/details/TYD/AAG/AAAdkxAAHAAAL0%2FAAG.json,AAAdkxAAHAAAL0%2FAAG,TYD
臺灣桃園地方法院,056法登財1,120,設立登記,財團法人台灣省桃園縣私立泉僑高級中學,056/06/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL1DAAE&bc=056&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TYD&fg=1,output/details/TYD/AAE/AAAdkxAAHAAAL1DAAE.json,AAAdkxAAHAAAL1DAAE,TYD
臺灣桃園地方法院,058法登20,41,設立登記,財團法人私立龍華工商專科學校,058/10/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAIOHAAC&bc=058&cd=%AA%6B%B5%6E++++++++++++++++&de=000020&ef=TYD&fg=1,output/details/TYD/AAC/AAAdkxAAHAAAIOHAAC.json,AAAdkxAAHAAAIOHAAC,TYD
